Time (s)	System Output	ControllerOutput
4.890017	0.932137	0.944154
4.900017	0.932400	0.944313
4.910017	0.932662	0.944470
4.920018	0.932923	0.944627
4.930018	0.933185	0.944785
4.940018	0.933445	0.944939
4.950018	0.933705	0.945098
4.960019	0.933964	0.945249
4.970019	0.934223	0.945408
4.980019	0.934480	0.945558
4.990019	0.934737	0.945716
5.000020	0.934994	0.945866
5.010020	0.935249	0.946022
5.020020	0.935504	0.946175
5.030020	0.935758	0.946326
5.040020	0.936011	0.946481
5.050021	0.936263	0.946631
5.060021	0.936515	0.946787
5.070021	0.936765	0.946936
5.080021	0.937015	0.947090
5.090022	0.937263	0.947240
5.100022	0.937511	0.947392
5.110022	0.937757	0.947544
5.120022	0.938003	0.947696
5.130023	0.938247	0.947847
5.140023	0.938491	0.948000
5.150023	0.938733	0.948151
5.160023	0.938974	0.948303
5.170023	0.939214	0.948454
5.180024	0.939453	0.948607
5.190024	0.939691	0.948758
5.200024	0.939928	0.948910
5.210024	0.940164	0.949062
5.220025	0.940398	0.949213
5.230025	0.940632	0.949367
5.240025	0.940864	0.949517
5.250025	0.941095	0.949671
5.260026	0.941325	0.949822
5.270026	0.941554	0.949975
5.280026	0.941781	0.950129
5.290026	0.942007	0.950280
5.300026	0.942232	0.950433
5.310027	0.942456	0.950588
5.320027	0.942678	0.950739
5.330027	0.942900	0.950894
5.340027	0.943120	0.951045
5.350028	0.943339	0.951201
5.360028	0.943556	0.951354
5.370028	0.943773	0.951507
5.380028	0.943988	0.951662
5.390028	0.944202	0.951816
5.400029	0.944415	0.951971
5.410029	0.944626	0.952124
5.420029	0.944836	0.952280
5.430029	0.945045	0.952432
5.440030	0.945253	0.952589
5.450030	0.945460	0.952741
5.460030	0.945665	0.952899
5.470030	0.945869	0.953051
5.480031	0.946072	0.953210
5.490031	0.946274	0.953362
5.500031	0.946474	0.953519
5.510031	0.946674	0.953673
5.520031	0.946872	0.953829
5.530032	0.947069	0.953985
5.540032	0.947264	0.954138
5.550032	0.947459	0.954296
5.560032	0.947653	0.954449
5.570033	0.947845	0.954607
5.580033	0.948036	0.954760
5.590033	0.948226	0.954917
5.600033	0.948415	0.955072
5.610034	0.948603	0.955226
5.620034	0.948789	0.955383
5.630034	0.948975	0.955536
5.640034	0.949160	0.955692
5.650034	0.949343	0.955848
5.660035	0.949525	0.956000
5.670035	0.949707	0.956157
5.680035	0.949887	0.956312
5.690035	0.950066	0.956465
5.700036	0.950244	0.956620
5.710036	0.950422	0.956774
5.720036	0.950598	0.956928
5.730036	0.950773	0.957083
5.740036	0.950947	0.957235
5.750037	0.951120	0.957389
5.760037	0.951293	0.957545
5.770037	0.951464	0.957695
5.780037	0.951634	0.957850
5.790038	0.951804	0.958002
5.800038	0.951972	0.958154
5.810038	0.952140	0.958307
5.820038	0.952307	0.958459
5.830039	0.952473	0.958609
5.840039	0.952638	0.958762
5.850039	0.952802	0.958911
5.860039	0.952965	0.959063
5.870039	0.953128	0.959213
5.880040	0.953290	0.959364
5.890040	0.953451	0.959512
5.900040	0.953611	0.959664
5.910040	0.953770	0.959811
5.920041	0.953929	0.959961
5.930041	0.954086	0.960107
5.940041	0.954243	0.960257
5.950041	0.954400	0.960402
5.960042	0.954555	0.960552
5.970042	0.954710	0.960697
5.980042	0.954864	0.960842
5.990042	0.955018	0.960989
6.000042	0.955171	0.961133
6.010043	0.955323	0.961280
6.020043	0.955474	0.961423
6.030043	0.955625	0.961568
6.040043	0.955775	0.961709
6.050044	0.955925	0.961855
6.060044	0.956074	0.961995
6.070044	0.956222	0.962140
6.080044	0.956370	0.962279
6.090044	0.956517	0.962420
6.100045	0.956664	0.962561
6.110045	0.956810	0.962701
6.120045	0.956955	0.962839
6.130045	0.957100	0.962981
6.140046	0.957244	0.963117
6.150046	0.957388	0.963256
6.160046	0.957531	0.963393
6.170046	0.957674	0.963528
6.180047	0.957816	0.963666
6.190047	0.957958	0.963800
6.200047	0.958099	0.963938
6.210047	0.958240	0.964070
6.220047	0.958380	0.964205
6.230048	0.958520	0.964338
6.240048	0.958659	0.964471
6.250048	0.958798	0.964604
6.260048	0.958936	0.964734
6.270049	0.959074	0.964867
6.280049	0.959212	0.964995
6.290049	0.959349	0.965126
6.300049	0.959485	0.965257
6.310050	0.959622	0.965384
6.320050	0.959757	0.965513
6.330050	0.959893	0.965640
6.340050	0.960028	0.965768
6.350050	0.960162	0.965892
6.360051	0.960296	0.966020
6.370051	0.960430	0.966145
6.380051	0.960564	0.966269
6.390051	0.960697	0.966395
6.400052	0.960829	0.966516
6.410052	0.960961	0.966640
6.420052	0.961093	0.966763
6.430052	0.961225	0.966884
6.440053	0.961356	0.967005
6.450053	0.961487	0.967126
6.460053	0.961617	0.967246
6.470053	0.961747	0.967365
6.480053	0.961877	0.967484
6.490054	0.962006	0.967603
6.500054	0.962135	0.967721
6.510054	0.962264	0.967838
6.520054	0.962392	0.967953
6.530055	0.962520	0.968071
6.540055	0.962648	0.968186
6.550055	0.962775	0.968300
6.560055	0.962902	0.968416
6.570055	0.963029	0.968529
6.580056	0.963155	0.968642
6.590056	0.963281	0.968756
6.600056	0.963407	0.968866
6.610056	0.963532	0.968980
6.620057	0.963657	0.969089
6.630057	0.963781	0.969202
6.640057	0.963906	0.969310
6.650057	0.964030	0.969422
6.660058	0.964153	0.969528
6.670058	0.964277	0.969640
6.680058	0.964400	0.969745
6.690058	0.964522	0.969853
6.700058	0.964645	0.969961
6.710059	0.964767	0.970066
6.720059	0.964889	0.970174
6.730059	0.965010	0.970278
6.740059	0.965131	0.970383
6.750060	0.965252	0.970489
6.760060	0.965372	0.970591
6.770060	0.965493	0.970695
6.780060	0.965612	0.970799
6.790061	0.965732	0.970900
6.800061	0.965851	0.971005
6.810061	0.965970	0.971104
6.820061	0.966088	0.971208
6.830061	0.966207	0.971306
6.840062	0.966324	0.971407
6.850062	0.966442	0.971508
6.860062	0.966559	0.971606
6.870062	0.966676	0.971707
6.880063	0.966793	0.971803
6.890063	0.966909	0.971904
6.900063	0.967025	0.971999
6.910063	0.967140	0.972099
6.920063	0.967256	0.972194
6.930064	0.967371	0.972293
6.940064	0.967485	0.972386
6.950064	0.967600	0.972484
6.960064	0.967713	0.972577
6.970065	0.967827	0.972674
6.980065	0.967940	0.972768
6.990065	0.968053	0.972861
7.000065	0.968166	0.972957
7.010066	0.968278	0.973048
7.020066	0.968390	0.973143
7.030066	0.968502	0.973235
7.040066	0.968613	0.973326
7.050066	0.968724	0.973419
7.060067	0.968834	0.973511
7.070067	0.968945	0.973603
7.080067	0.969055	0.973691
7.090067	0.969164	0.973784
7.100068	0.969273	0.973873
7.110068	0.969382	0.973964
7.120068	0.969491	0.974051
7.130068	0.969599	0.974142
7.140069	0.969707	0.974230
7.150069	0.969814	0.974320
7.160069	0.969921	0.974408
7.170069	0.970028	0.974494
7.180069	0.970135	0.974583
7.190070	0.970241	0.974669
7.200070	0.970346	0.974757
7.210070	0.970452	0.974844
7.220070	0.970557	0.974930
7.230071	0.970661	0.975016
7.240071	0.970766	0.975102
7.250071	0.970870	0.975188
7.260071	0.970973	0.975271
7.270072	0.971077	0.975357
7.280072	0.971180	0.975441
7.290072	0.971282	0.975526
7.300072	0.971384	0.975609
7.310072	0.971486	0.975693
7.320073	0.971588	0.975777
7.330073	0.971689	0.975860
7.340073	0.971790	0.975943
7.350073	0.971890	0.976026
7.360074	0.971990	0.976108
7.370074	0.972090	0.976190
7.380074	0.972189	0.976272
7.390074	0.972288	0.976354
7.400074	0.972387	0.976435
7.410075	0.972485	0.976516
7.420075	0.972583	0.976597
7.430075	0.972681	0.976676
7.440075	0.972778	0.976757
7.450076	0.972875	0.976836
7.460076	0.972972	0.976917
7.470076	0.973068	0.976996
7.480076	0.973164	0.977075
7.490077	0.973259	0.977154
7.500077	0.973354	0.977233
7.510077	0.973449	0.977312
7.520077	0.973543	0.977391
7.530077	0.973637	0.977469
7.540078	0.973731	0.977545
7.550078	0.973825	0.977624
7.560078	0.973918	0.977700
7.570078	0.974010	0.977778
7.580079	0.974103	0.977855
7.590079	0.974195	0.977932
7.600079	0.974286	0.978006
7.610079	0.974378	0.978084
7.620080	0.974469	0.978160
7.630080	0.974559	0.978236
7.640080	0.974649	0.978309
7.650080	0.974739	0.978386
7.660080	0.974829	0.978461
7.670081	0.974918	0.978534
7.680081	0.975007	0.978610
7.690081	0.975096	0.978685
7.700081	0.975184	0.978757
7.710082	0.975272	0.978833
7.720082	0.975360	0.978906
7.730082	0.975447	0.978978
7.740082	0.975534	0.979053
7.750082	0.975620	0.979124
